country,parameter,value,rating
Afghanistan,Purchasing Power Index,28.69,Very Low
Afghanistan,Safety Index,27.15,Low
Afghanistan,Health Care Index,27.17,Low
Afghanistan,Climate Index,,
Afghanistan,Cost of Living Index,24.25,Very Low
Afghanistan,Property Price to Income Ratio,14.02,High
Afghanistan,Traffic Commute Time Index,56.17,High
Afghanistan,Pollution Index,91.94,Very High
Afghanistan,Quality of Life Index,,
Aland Islands,Purchasing Power Index,121.89,Very High
Aland Islands,Safety Index,82.26,Very High
Aland Islands,Health Care Index,87.27,Very High
Aland Islands,Climate Index,,
Aland Islands,Cost of Living Index,75.36,Moderate
Aland Islands,Property Price to Income Ratio,3.85,Very Low
Aland Islands,Traffic Commute Time Index,19.05,Very Low
Aland Islands,Pollution Index,10.78,Very Low
Aland Islands,Quality of Life Index,,
Albania,Purchasing Power Index,31.35,Very Low
Albania,Safety Index,60.42,High
Albania,Health Care Index,53.03,Moderate
Albania,Climate Index,86.43,Very High
Albania,Cost of Living Index,36.29,Very Low
Albania,Property Price to Income Ratio,15.36,High
Albania,Traffic Commute Time Index,40.20,Moderate
Albania,Pollution Index,77.09,High
Albania,Quality of Life Index,102.29,Moderate
Algeria,Purchasing Power Index,32.09,Very Low
Algeria,Safety Index,45.95,Moderate
Algeria,Health Care Index,55.45,Moderate
Algeria,Climate Index,94.82,Very High
Algeria,Cost of Living Index,30.02,Very Low
Algeria,Property Price to Income Ratio,19.30,Very High
Algeria,Traffic Commute Time Index,47.20,High
Algeria,Pollution Index,65.65,High
Algeria,Quality of Life Index,99.93,Moderate
Andorra,Purchasing Power Index,,
Andorra,Safety Index,82.31,Very High
Andorra,Health Care Index,80.56,Very High
Andorra,Climate Index,,
Andorra,Cost of Living Index,,
Andorra,Property Price to Income Ratio,8.18,Moderate
Andorra,Traffic Commute Time Index,5.00,Very Low
Andorra,Pollution Index,36.42,Low
Andorra,Quality of Life Index,,
Angola,Purchasing Power Index,44.58,Very Low
Angola,Safety Index,35.14,Low
Angola,Health Care Index,40.97,Moderate
Angola,Climate Index,,
Angola,Cost of Living Index,101.86,High
Angola,Property Price to Income Ratio,10.43,Moderate
Angola,Traffic Commute Time Index,64.00,Very High
Angola,Pollution Index,97.39,Very High
Angola,Quality of Life Index,,
Antigua And Barbuda,Purchasing Power Index,,
Antigua And Barbuda,Safety Index,32.72,Low
Antigua And Barbuda,Health Care Index,,
Antigua And Barbuda,Climate Index,,
Antigua And Barbuda,Cost of Living Index,,
Antigua And Barbuda,Property Price to Income Ratio,26.91,Very High
Antigua And Barbuda,Traffic Commute Time Index,,
Antigua And Barbuda,Pollution Index,37.93,Low
Antigua And Barbuda,Quality of Life Index,,
Argentina,Purchasing Power Index,50.87,Low
Argentina,Safety Index,37.04,Low
Argentina,Health Care Index,69.81,High
Argentina,Climate Index,98.28,Very High
Argentina,Cost of Living Index,37.61,Very Low
Argentina,Property Price to Income Ratio,19.93,Very High
Argentina,Traffic Commute Time Index,42.09,Moderate
Argentina,Pollution Index,51.99,Moderate
Argentina,Quality of Life Index,120.15,High
Armenia,Purchasing Power Index,30.01,Very Low
